::::Dially batch job::::: 
PLPAAADTRADEFUND,BundleWaitingTrades
PLPACFDACCSMONAC,AccountStrategyMoneyAccount
PLPACPDNPRINTDIS,PrintDistributor
PLPABJDTRANSFP4,P41EdiHandleDelivery
PLPAALDEXTRACT,SqlReporting
PLPABVSAPPAYMENT,SapPaymentReceipt
PLPACTDP41EDIMET,P41EdiBanksImport
PLPACTDP41EDIMET,P41EdiFundsImport
PLPACDDPIFUPDATE,PifUpdate
PLPACZDBATCHREPO,BatchReport
PLPABYTAXREPORT,AIncomeTaxReporting
PLPAACDUNITFUND,TotalInvestmentInventory
PLPAACDUNITFUND,FundMerge
PLPAABDSHRPRICES,FundPriceImport
PLPABZPAFREPORTI,PafReporting
PLPAAODTRANSFP2,P41ediCreateDeliviery
PLPAATMACCPROJEM,EndMonth Sidste kalenderdag 00:01
PLPAAHDACCSTRAT,AccountStrategyPayablesReceiverWaiting
PLPAAIDPAYOUTSAP,SapPayment
PLPAAIDPAYOUTSAP,SapPaymentNemKonto
PLPACRDPAYOUTSPC,PaymentSpecPrint
PLPAAKDBOOKING,OiAccountItemExport
PLPADXWASRECCON,AccountStrategyReceivablesContributor
PLPAAKDBOOKING,OiAccountBalanceExport
PLPAAQDNEEDSADVA,NeedsAdvance
PLPABQDGTISKIFCP,GTISkiftCpr
PLPABOGTISKIFTLA,GTISkiftLandekode
PLPABPGTISKIFTST,GTISkiftStatus
PLPACMDKEYPERREP,KeyPersonsReporting
PLPACNDCOVCATREP,CoverCategorizationReporting
PLPAAGDRECTAXC,EIncomeImport
PLPACHDEKAPREC,EKapitalReceipt
PLPAEFDMOBILEPAY,MpsPaymentImport
PLPABCDPBSPAYSIM,PbsBetalingsServiceImport
PLPABDDPBSINFOIM,PBSInfoServiceImport
PLPAAEDTAXCRUN,StartTaxCardSubscription
PLPAAJDDB9669PAY,Db9669PaymentImport
PLPABFDPAYFROMDB,DbPaymentImport hverdage
PLPADPDP41PAYINP,P41AccountPaymentImport
PLPAEQDPAYIMPORT,CardPaymentImport
 :::::::Monthly BAtCH jobs :::::::::::::
PLPABXDRAFTAGREE,CancelDraftAgreements E. CancelActiveQuoteAgreements
PLPABXDRAFTAGREE,CancelQuoteAgreements
PLPABXDRAFTAGREE,CancelActiveQuoteAgreements
PLPABHDAPCEXCOST,APCExternalCostTransaction
PLPABXDRAFTAGREE,TerminateAgreements
PLPABXDRAFTAGREE,CancelActiveDraftAgreement
PLPAAZMUBILLREMI,UmbrellaBillingRemainder
PLPABRRETIREPRNT,RetirementPrint
PLPAATMACCPROJEM,EndMonth Første kalenderdag 00:01
PLPAAPMPROVISION,CommissionPaymentPrimoMonth 
PLPAFDWDSSIMPORT,TopDssReportingFilesImport
PLPAFBWUNITLINK,TopUnitLinkYieldReport
PLPAAUMINTRISKBO,InteresRiskBonus
PLPABEDSAPPAYIMP,SapPaymentImport
PLPABGMAPCEXPOLI,APCExportPolicyData
PLPABYMTAXREPORT,AIncomeTaxReporting
PLPADEMBINCOMFEE,BIncomeFeeReporting
PLPAELMCPSPRINT,TopCpsReportingPrint
PLPACSMREMUNERAT,ExternalCostExportSpec
PLPACLMRUNPAYREP,RunningPayablesReporting
PLPAAFMPOSTWAITA,ExternalCostAccountStrategy
PLPAASMACCPROJPR,Primo 5. sidste hverdag 00:01
PLPAAYMPBILLREMI,PbsBillingReminder
PLPAEOMTOPBENEND,TopBenefitEndPrint
PLPABTPOLICYSERV,SyncronizePolicyServiceDepartment
PLPAEGMINVESTMEN,TotalInvestmentInventoryByPolicy
PLPAEWWQUOTEDEL,QuoteDeletion
PLPABAMCVRFSTREM,CVRFirstRemainderPrint
PLPAEWWQUOTEDEL,PersonDeletion
PLPAEWWQUOTEDEL,GdprDatamartDeletion
PLPADIMDISQPAY,DisqualifyingPaymentsReporting
PLPADHMASKATALD,IncomeTaxcode45PreReporting
PLPADHMASKATALD,IncomeTaxcode45Reporting
PLPABWMREBALANCI,Rebalancing
PLPABBMCVRSECREM,CVRSecondRemainderPrint
PLPADBMPENDIVCOR,IrteCorrection
PLPACYMBINCOMCOR,BIncomeTaxCorrection
PLPACVMCPSCORREC,CpsCorrection
PLPAARMACCPROJUL,Ultimo
PLPACGMPEREREPOR,PereReporting
PLPABSRESIGNATIN,ResignationInfoPrint
PLPAAXMPOLICNETR,PbsBillingReceipt
PLPACQMBILLING,Billing
PLPACQMBILLING,BillingRequest
PLPACQMBILLING,PbsBillingRequest
PLPACQMBILLING,BillingRequestPrint
:::::: Yearly batch jobs
PLPADYYIRTEPRINT,TopIrteReportingPrint
PLPADGYINDLAAN,IndlaanAccount13TaxReporting
PLPACXMBINCOMREP,BIncomeTaxReporting
PLPAEMYLIFECERT,TopLifeCertificatePrintBatchJob
PLPADRNONBANKDAY,NonBankDays
PLPAEHYUDKEXPORT,UdkExport
PLPAEIYUDKRECEIP,UdkReceipt
PLPACUYCPSREPORT,CpsReporting
PLPADAYPENDIVREP,IrteReporting
PLPADJYINDLAACOR,IndlaanAccount13TaxCorrection
PLPADDYCRSREPORT,CrsReporting
PLPADCYFATCAREPO,FatcaReporting
::::::Vederlag og provision;;;;
PLPAAPMPROVISION,CommissionPaymentPrimoMonth
PLPAATMACCPROJEM,EndMonth Første kalenderdag
PLPAAFMPOSTWAITA,ExternalCostAccountStrategy
PLPACSMREMUNERAT,ExternalCostExportSpec
PLPABGMAPCEXPOLI,APCExportPolicyData
:::::Kurser og handler::::::
PLPAACDUNITFUND,TotalInvestmentInventory
PLPAACDUNITFUND,FundMerge
PLPAFBWUNITLINK,TopUnitLinkYieldReport
;;;;;SKAT EIndkomst jobs;;;;; 
PLPABYMTAXREPORT,AIncomeTaxReporting
PLPADHMASKATALD,IncomeTaxcode45Reporting
::: SKAT eKapital jobs ;:::
PLPADBWPENDIVREP,IrteCorrection
PLPAENMPEREOPH,PereOphReporting
:::Indbetaling alle kilder:::::
PLPAESDHEAPDEPOS,HeapDeposites
PLPABEDSAPPAYIMP,SapPaymentImport
PLPABFDPAYFROMDB,DbPaymentImport
::::::: Udbetaling og regnskab :::::
PLPABVSAPPAYMENT,SapPaymentReciept
hverdage 05:00
PLPAAHDACCSTRAT,AccountStrategyPayablesReceiverWaiting
PLPAAIDPAYOUTSAP,SapPayment
Efter AccountStrategy
PLPAAIDPAYOUTSAP,SapPaymentNemKonto
Efter SapPayment
PLPACRDPAYOUTSPC,PaymentSpecPrint
PLPAAKDBOOKING,OiAccountItemExport
PLPAAKDBOOKING,OiAccountBalanceExport
::::::GTI filbaserede opdateringer:::::
PLPABQGTISKIFCPR,GTISkiftCpr
:::::Print og opkrævning:::::::
PLPAELMCPSPRINT,TopCpsReportingPrint
PLPPABRETIREPRNT,RetirementPrint
PLPAAYMPBILLREMI,PbsBillingReminder
PLPABAMCVRFSTREM,CVRFirstRemainderPrint
PLPACQMBILLING,BillingRequest
PLPAEOMTOPBENEND,TopBenefitEndPrint
PLPACQMBILLING,PbsBillingRequest
PLPACQMBILLING,BillingRequestPrint
PLPAEMLIFECERT,TopLifeCertificatePrintBatchJob
:::::::::Data Warehouse :::::::::::::
